Phrase,Sentiment
The Pianist lacks the quick emotional connections of Steven Spielberg 's Schindler 's List .,0
"Tells a fascinating , compelling story .",1
"Written , flatly , by David Kendall and directed , barely , by There 's Something About Mary co-writer Ed Decter .",0
"Highly recommended viewing for its courage , ideas , technical proficiency and great acting .",1
"In IMAX in short , it 's just as wonderful on the big screen .",1
"Amid the shock and curiosity factors , the film is just a corny examination of a young actress trying to find her way .",0
It 's lazy for a movie to avoid solving one problem by trying to distract us with the solution to another .,0
"Entertains not so much because of its music or comic antics , but through the perverse pleasure of watching Disney scrape the bottom of its own cracker barrel .",0
"Invigorating , surreal , and resonant with a rainbow of emotion .",1
Report card : Does n't live up to the exalted tagline - there 's definite room for improvement .,0
"It 's not a particularly good film , but neither is it a monsterous one .",0
Tsai may be ploughing the same furrow once too often .,0
"-LRB- Green is -RRB- the comedy equivalent of Saddam Hussein , and I 'm just about ready to go to the U.N. and ask permission for a preemptive strike .",0
"Massoud 's story is an epic , but also a tragedy , the record of a tenacious , humane fighter who was also the prisoner -LRB- and ultimately the victim -RRB- of history .",0
Shyamalan should stop trying to please his mom .,0
"One of recent memory 's most thoughtful films about art , ethics , and the cost of moral compromise .",1
The narrative is so consistently unimaginative that probably the only way to have saved the film is with the aid of those wisecracking Mystery Science Theater 3000 guys .,0
Filmmaker Tian Zhuangzhuang triumphantly returns to narrative filmmaking with a visually masterful work of quiet power .,1
A mawkish self-parody that plays like some weird Masterpiece Theater sketch with neither a point of view nor a compelling reason for being .,0
"Takes one character we do n't like and another we do n't believe , and puts them into a battle of wills that is impossible to care about and is n't very funny .",0
"And if you appreciate the one-sided theme to Lawrence 's over-indulgent tirade , then knock yourself out and enjoy the big screen postcard that is a self-glorified Martin Lawrence lovefest .",0
"Swinging , the film makes it seem , is not a hobby that attracts the young and fit .",0
"But when it does , you 're entirely unprepared .",0
"300 years of Russian history and culture compressed into an evanescent , seamless and sumptuous stream of consciousness .",1
"`` Spider-man is better than any summer blockbuster we had to endure last summer , and hopefully , sets the tone for a summer of good stuff .",1
Absorbing character,0
"Violent , vulgar and forgettably entertaining .",0
It 's the unsettling images of a war-ravaged land that prove more potent and riveting than the unlikely story of Sarah and Harrison .,0
"A thoughtful and surprisingly affecting portrait of a screwed-up man who dared to mess with some powerful people , seen through the eyes of the idealistic kid who chooses to champion his ultimately losing cause .",1
A brilliant gag at the expense of those who paid for it and those who pay to see it .,0
"A triumph , a film that hews out a world and carries us effortlessly from darkness to light .",1
Just about everyone involved here seems to be coasting .,0
I suspect this is the kind of production that would have been funnier if the director had released the outtakes theatrically and used the film as a bonus feature on the DVD .,0
"It 's hard to say who might enjoy this , are there Tolstoy groupies out there ?",0
Daughter From Danang reveals that efforts toward closure only open new wounds .,0
One of the year 's most weirdly engaging and unpredictable character pieces .,1
Intriguing and downright intoxicating .,1
"Although fairly involving as far as it goes , the film does n't end up having much that is fresh to say about growing up Catholic or , really , anything .",0
It gets the details of its time frame right but it completely misses its emotions .,0
Initial strangeness inexorably gives way to rote sentimentality and mystical tenderness becomes narrative expedience .,0
"Like the world of his film , Hartley created a monster but did n't know how to handle it .",0
"When cowering and begging at the feet a scruffy Giannini , Madonna gives her best performance since Abel Ferrara had her beaten to a pulp in his Dangerous Game .",1
Too clumsy in key moments ... to make a big splash .,0
"Because Eight Legged Freaks is partly an homage to Them , Tarantula and other low - budget B-movie thrillers of the 1950s and '60s , the movie is a silly -LRB- but not sophomoric -RRB- romp through horror and hellish conditions .",0
"It feels like very light Errol Morris , focusing on eccentricity but failing , ultimately , to make something bigger out of its scrapbook of oddballs .",0
Spielberg 's realization of a near-future America is masterful .,1
"Feels like the work of an artist who is simply tired -- of fighting the same fights , of putting the weight of the world on his shoulders , of playing with narrative form .",0
... stale and uninspired .,0
Eerily accurate depiction of depression .,0
"As a feature-length film , it wears out its welcome as tryingly as the title character .",0
The story alone could force you to scratch a hole in your head .,0
"As any creature-feature fan knows , when you cross toxic chemicals with a bunch of exotic creatures , you get a lot of running around , screaming and death .",0
You bet there is and it 's what makes this rather convoluted journey worth taking .,0
Kim Ki-Deok seems to have in mind an -LRB- emotionally at least -RRB- adolescent audience demanding regular shocks and bouts of barely defensible sexual violence to keep it interested .,0
A well-made but emotionally scattered film whose hero gives his heart only to the dog .,0
"Those who love Cinema Paradiso will find the new scenes interesting , but few will find the movie improved .",0
"Wallace gets a bit heavy handed with his message at times , and has a visual flair that waxes poetic far too much for our taste .",0
Charming and funny -LRB- but ultimately silly -RRB- movie .,0
"... the one thing this Wild film has that other Imax films do n't : chimps , lots of chimps , all blown up to the size of a house .",0
"Beautifully crafted , engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing .",1
An awkwardly contrived exercise in magic realism .,0
"The punch lines that miss , unfortunately , outnumber the hits by three-to-one .",0
"At a brief 42 minutes , we need more X and less blab .",0
The Spalding Gray equivalent of a teen gross-out comedy .,0
There 's a great deal of corny dialogue and preposterous moments .,0
The result might look like Vulgar .,0
It never plays as dramatic even when dramatic things happen to people .,0
The movie generates plot points with a degree of randomness usually achieved only by lottery drawing .,0
"Though the film never veers from its comic course , its unintentional parallels might inadvertently evoke memories and emotions which are anything but humorous .",0
The film can depress you about life itself .,0
"If you saw it on TV , you 'd probably turn it off , convinced that you had already seen that movie .",0
You get the impression that writer and director Burr Steers knows the territory ... but his sense of humor has yet to lose the smug self-satisfaction usually associated with the better private schools .,0
This is a superior horror flick .,1
The movie 's heavy-handed screenplay navigates a fast fade into pomposity and pretentiousness .,0
A little weak -- and it is n't that funny .,0
But they do n't fit well together and neither is well told .,0
Being latently gay and liking to read are hardly enough .,0
Storytelling feels slight .,0
Monte Cristo smartly emphasizes the well-wrought story and omits needless chase scenes and swordfights as the revenge unfolds .,1
It 's a fairy tale that comes from a renowned Indian film culture that allows Americans to finally revel in its splendor .,1
"... only Bond can save us from the latest eccentric , super-wealthy megalomaniac bent on world domination and destruction .",0
Parents beware ; this is downright movie penance .,0
A singularly off-putting romantic comedy .,0
Director Boris von Sychowski instead opts for a routine slasher film that was probably more fun to make than it is to sit through .,0
"A superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with ' : Everyone has shown up at the appointed time and place , but visible enthusiasm is mighty hard to find .",0
Cloaks a familiar anti-feminist equation -LRB- career - kids = misery -RRB- in tiresome romantic-comedy duds .,0
A film that plays things so nice 'n safe as to often play like a milquetoast movie of the week blown up for the big screen .,0
"An even more predictable , cliche-ridden endeavor than its predecessor .",0
"The script covers huge , heavy topics in a bland , surfacey way that does n't offer any insight into why , for instance , good things happen to bad people .",0
They threw loads of money at an idea that should 've been so much more even if it was only made for teenage boys and wrestling fans .,0
"Jolting into Charleston rhythms , the story has the sizzle of old news that has finally found the right vent -LRB- accurate ?",0
Or both .,0
"Williams plays Sy , another of his open-faced , smiling madmen , like the killer in Insomnia .",0
Phoned-in business as usual .,0
"With its lackadaisical plotting and mindless action , All About the Benjamins evokes the bottom tier of blaxploitation flicks from the 1970s .",0
... a thoughtful what-if for the heart as well as the mind .,1
Miyazaki is one of world cinema 's most wondrously gifted artists and storytellers .,1
"Provides the kind of ` laugh therapy ' I need from movie comedies -- offbeat humor , amusing characters , and a happy ending .",1
Director Roger Michell does so many of the little things right that it 's difficult not to cuss him out severely for bungling the big stuff .,0
"This movie may not have the highest production values you 've ever seen , but it 's the work of an artist , one whose view of America , history and the awkwardness of human life is generous and deep .",1
Feral and uncomfortable .,0
"Sillier , cuter , and shorter than the first -LRB- as best I remember -RRB- , but still a very good time at the cinema .",1
"Some of the computer animation is handsome , and various amusing sidekicks add much-needed levity to the otherwise bleak tale , but overall the film never rises above mediocrity .",0
Offers the flash of rock videos fused with solid performances and eerie atmosphere .,1
"The increasingly diverse French director has created a film that one can honestly describe as looking , sounding and simply feeling like no other film in recent history .",1
A difficult but worthy film that bites off more than it can chew by linking the massacre of Armenians in 1915 with some difficult relationships in the present .,0
"Halfway through the movie , the humor dwindles .",0
"Witty and often surprising , a dark little morality tale disguised as a romantic comedy .",1
"One senses in World Traveler and in his earlier film that Freundlich bears a grievous but obscure complaint against fathers , and circles it obsessively , without making contact .",0
... a preachy parable stylized with a touch of John Woo bullet ballet .,0
Proves that some movie formulas do n't need messing with -- like the big-bug movie .,0
"An uplifting , largely bogus story .",0
"Thanks to confident filmmaking and a pair of fascinating performances , the way to that destination is a really special walk in the woods .",1
Superbly photographed and staged by Mendes with a series of riveting set pieces the likes of which mainstream audiences have rarely seen .,1
A mesmerizing cinematic poem from the first frame to the last .,1
It has become apparent that the franchise 's best years are long past .,0
"Screenwriter Chris ver Weil 's directing debut is good-natured and never dull , but its virtues are small and easily overshadowed by its predictability .",0
"Too much of Storytelling moves away from Solondz 's social critique , casting its audience as that of intellectual lector in contemplation of the auteur 's professional injuries .",0
"Ultimately , Sarah 's dedication to finding her husband seems more psychotic than romantic , and nothing in the movie makes a convincing case that one woman 's broken heart outweighs all the loss we witness .",0
A mildly enjoyable if toothless adaptation of a much better book .,0
"First , for a movie that tries to be smart , it 's kinda dumb .",0
I was sent a copyof this film to review on DVD .,0
... silly humbuggery ...,0
"Is n't as sharp as the original ... Despite some visual virtues , ` Blade II ' just does n't cut it .",0
Robinson 's web of suspense matches the page-turning frenzy that Clancy creates .,1
Got a David Lynch jones ?,0
Earnest and tentative even when it aims to shock .,0
Time of Favor could have given audiences the time of day by concentrating on the elements of a revealing alienation among a culture of people who sadly are at hostile odds with one another through recklessness and retaliation .,0
`` Austin Powers in Goldmember '' has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end .,1
What puzzles me is the lack of emphasis on music in Britney Spears ' first movie .,0
The filmmakers might want to look it up .,0
"While maintaining the appearance of clinical objectivity , this sad , occasionally horrifying but often inspiring film is among Wiseman 's warmest .",1
There is simply no doubt that this film asks the right questions at the right time in the history of our country .,1
"Sadly , though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction .",0
"To the filmmakers , Ivan is a prince of a fellow , but he comes across as shallow and glib though not mean-spirited , and there 's no indication that he 's been responsible for putting together any movies of particular value or merit .",0
Buy popcorn .,0
A late-night cable sexploitation romp masquerading as a thriller about the ruthless social order that governs college cliques .,0
A well-intentioned effort that 's still too burdened by the actor 's offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility .,0
"-LRB- Allen 's -RRB- been making piffle for a long while , and Hollywood Ending may be his way of saying that piffle is all that the airhead movie business deserves from him right now .",0
Judith and Zaza 's extended bedroom sequence ... is so intimate and sensual and funny and psychologically self-revealing that it makes most of what passes for sex in the movies look like cheap hysterics .,1
Uneven performances and a spotty script add up to a biting satire that has no teeth .,0
"Ultimately , clarity matters , both in breaking codes and making movies .",0
Proves mainly that South Korean filmmakers can make undemanding action movies with all the alacrity of their Hollywood counterparts .,0
"Except it 's much , much better .",1
"It is a happy , heady jumble of thought and storytelling , an insane comic undertaking that ultimately coheres into a sane and breathtakingly creative film .",1
There is more than one joke about putting the toilet seat down .,0
So original in its base concept that you can not help but get caught up .,1
"If you ignore the cliches and concentrate on City by the Sea 's interpersonal drama , it ai n't half-bad .",0
See it .,1
Nothing but an episode of Smackdown !,0
"A guilty pleasure at best , and not worth seeing unless you want to laugh at it .",0
"Perhaps a better celebration of these unfairly dismissed heroes would be a film that is n't this painfully forced , false and fabricated .",0
` Hey Arnold ! ',0
"The band performances featured in Drumline are red hot ... -LRB- but -RRB- from a mere story point of view , the film 's ice cold .",0
A non-mystery mystery .,0
Leigh is one of the rare directors who feels acting is the heart and soul of cinema .,1
"This is a monumental achievement in practically every facet of inept filmmaking : joyless , idiotic , annoying , heavy-handed , visually atrocious , and often downright creepy .",0
The filmmaker 's heart is in the right place ...,0
Rock 's stand-up magic wanes .,0
Roman Polanski directs The Pianist like a surgeon mends a broken heart ; very meticulously but without any passion .,0
"Sadly , ` Garth ' has n't progressed as nicely as ` Wayne . '",0
"With wit and empathy to spare , waydowntown acknowledges the silent screams of workaday inertia but stops short of indulging its characters ' striving solipsism .",0
It labours as storytelling .,0
Remember back when thrillers actually thrilled ?,0
Fails so fundamentally on every conventional level that it achieves some kind of goofy grandeur .,0
"... a ho-hum affair , always watchable yet hardly memorable .",0
"I just saw this movie ... well , it 's probably not accurate to call it a movie .",0
"Though uniformly well acted , especially by young Ballesta and Galan -LRB- a first-time actor -RRB- , writer\/director Achero Manas 's film is schematic and obvious .",0
"When you resurrect a dead man , Hard Copy should come a-knocking , no ?",0
"If the idea of the white man arriving on foreign shores to show wary natives the true light is abhorrent to you , the simplistic Heaven will quite likely be more like hell .",0
"It 's hard to believe that a relationship like Holly and Marina 's could survive the hothouse emotions of teendom , and its longevity gets more inexplicable as the characterizations turn more crassly reductive .",0
"For a movie audience , The Hours does n't connect in a neat way , but introduces characters who illuminate mysteries of sex , duty and love .",0
Purports to be a Hollywood satire but winds up as the kind of film that should be the target of something deeper and more engaging .,0
This is no `` Waterboy ! '',0
"They 're going through the motions , but the zip is gone .",0
"The script 's snazzy dialogue establishes a realistic atmosphere that involves us in the unfolding crisis , but the lazy plotting ensures that little of our emotional investment pays off .",0
"Not as good as the original , but what is ...",0
Those moviegoers who would automatically bypass a hip-hop documentary should give `` Scratch '' a second look .,1
An unsophisticated sci-fi drama that takes itself all too seriously .,0
Resident Evil is what comes from taking John Carpenter 's Ghosts of Mars and eliminating the beheadings .,0
"With or without the sex , a wonderful tale of love and destiny , told well by a master storyteller",1
How do you make a movie with depth about a man who lacked any ?,0
Translation : ` We do n't need to try very hard . ',0
"`` Frailty '' offers chills much like those that you get when sitting around a campfire around midnight , telling creepy stories to give each other the willies .",1
Less front-loaded and more shapely than the two-hour version released here in 1990 .,0
"An ambitious movie that , like Shiner 's organizing of the big fight , pulls off enough of its effects to make up for the ones that do n't come off .",1
"Some movies suck you in despite their flaws , and Heaven is one such beast .",1
Very well written and directed with brutal honesty and respect for its audience .,1
"Twenty years after its first release , E.T. remains the most wondrous of all Hollywood fantasies -- and the apex of Steven Spielberg 's misunderstood career .",1
Gooding offers a desperately ingratiating performance .,0
... stumbles over every cheap trick in the book trying to make the outrage come even easier .,0
"Every individual will see the movie through the prism of his or her own beliefs and prejudices , but the one thing most will take away is the sense that peace is possible .",1
"Broder 's screenplay is shallow , offensive and redundant , with pitifully few real laughs .",0
Leguizamo and Jones are both excellent and the rest of the cast is uniformly superb .,1
"Trying to figure out the rules of the Country Bear universe -- when are bears bears and when are they like humans , only hairier -- would tax Einstein 's brain .",0
"`` Feardotcom '' has the makings of an interesting meditation on the ethereal nature of the internet and the otherworldly energies it could channel , but it simply becomes a routine shocker .",0
"Delia , Greta , and Paula rank as three of the most multilayered and sympathetic female characters of the year .",1
"The town has kind of an authentic feel , but each one of these people stand out and everybody else is in the background and it just seems manufactured to me and artificial .",0
"Julie Davis is the Kathie Lee Gifford of film directors , sadly proving once again ego does n't always go hand in hand with talent .",0
"In this film , Aussie David Caesar channels the not-quite-dead career of Guy Ritchie .",0
"As averse as I usually am to feel-good , follow-your-dream Hollywood fantasies , this one got to me .",1
Would you laugh if a tuba-playing dwarf rolled down a hill in a trash can ?,0
"This misty-eyed Southern nostalgia piece , in treading the line between sappy and sanguine , winds up mired in tear-drenched quicksand .",0
To be oblivious to the existence of this film would be very sweet indeed .,0
A porn film without the sex scenes .,0
The movie plays up the cartoon 's more obvious strength of snazziness while neglecting its less conspicuous writing strength .,0
"Despite slick production values and director Roger Michell 's tick-tock pacing , the final effect is like having two guys yelling in your face for two hours .",0
A soulless jumble of ineptly assembled cliches and pabulum that plays like a 95-minute commercial for NBA properties .,0
"An ambitious , serious film that manages to do virtually everything wrong ; sitting through it is something akin to an act of cinematic penance .",0
Consistently clever and suspenseful .,1
Hilarious musical comedy though stymied by accents thick as mud .,0
A movie like The Guys is why film criticism can be considered work .,0
Bearable .,0
"The asylum material is gripping , as are the scenes of Jia with his family .",1
I walked away from this new version of E.T. just as I hoped I would -- with moist eyes .,1
plays like some corny television production from a bygone era,0
"It 's a powerful though flawed movie , guaranteed to put a lump in your throat while reaffirming Washington as possibly the best actor working in movies today .",1
Solondz may well be the only one laughing at his own joke,0
"Here 's a case of two actors who do everything humanly possible to create characters who are sweet and believable , and are defeated by a screenplay that forces them into bizarre , implausible behavior .",0
Some Body smacks of exhibitionism more than it does cathartic truth telling .,0
This beautifully animated epic is never dull .,1
"In one scene , we get a stab at soccer hooliganism , a double-barreled rip-off of Quentin Tarantino 's climactic shootout -- and Meat Loaf explodes .",0
Paul Bettany playing Malcolm McDowell ?,0
"A serviceable Euro-trash action extravaganza , with a decent sense of humor and plenty of things that go boom -- handguns , BMWs and seaside chateaus .",0
Veterans of the dating wars will smirk uneasily at the film 's nightmare versions of everyday sex-in-the-city misadventures .,0
It sends you away a believer again and quite cheered at just that .,1
The rollerball sequences feel sanitised and stagey .,0
"Interview With the Assassin is structured less as a documentary and more as a found relic , and as such the film has a difficult time shaking its Blair Witch Project real-time roots .",0
"It is most remarkable not because of its epic scope , but because of the startling intimacy it achieves despite that breadth .",1
"A nearly 21\/2 hours , the film is way too indulgent .",0
Seems like something American and European gay movies were doing 20 years ago .,0
"Claims to sort the bad guys from the good , which is its essential problem .",0
"Mana gives us compelling , damaged characters who we want to help -- or hurt .",0
Good-looking but relentlessly lowbrow outing plays like Clueless Does South Fork .,0
A straight-shooting family film which awards animals the respect they 've rarely been given .,1
The directive to protect the code at all costs also begins to blur as the importance of the man and the code merge,0
"What Eric Schaeffer has accomplished with Never Again may not , strictly speaking , qualify as revolutionary .",0
What can one say about a balding 50-year-old actor playing an innocent boy carved from a log ?,0
Ca n't seem to get anywhere near the story 's center .,0
"Even with its $ 50-million US budget , Pinocchio never quite achieves the feel of a fanciful motion picture .",0
A little more intensity and a little less charm would have saved this film a world of hurt .,0
"Like most of Jaglom 's films , some of it is honestly affecting , but more of it seems contrived and secondhand .",0
Maelstrom is a deliberately unsteady mixture of stylistic elements .,0
"Love may have been in the air onscreen , but I certainly was n't feeling any of it .",0
"Too long , and larded with exposition , this somber cop drama ultimately feels as flat as the scruffy sands of its titular community .",0
The young stars are too cute ; the story and ensuing complications are too manipulative ; the message is too blatant ; the resolutions are too convenient .,0
"In some ways , Lagaan is quintessential Bollywood .",0
A characteristically engorged and sloppy coming-of-age movie .,0
"A wry , affectionate delight .",1
Friday After Next is the kind of film that could only be made by African-Americans because of its broad racial insensitivity towards African-Americans .,0
As lively an account as Seinfeld is deadpan .,0
Brings awareness to an issue often overlooked -- women 's depression .,0
"Imagine a film that begins as a Seven rip-off , only to switch to a mix of The Shining , The Thing , and any naked teenagers horror flick from the 1980s .",0
An emotionally strong and politically potent piece of cinema .,1
More intellectually scary than dramatically involving .,0
A puzzling experience .,0
"Jonah is only so-so ... the addition of a biblical message will either improve the film for you , or it will lessen it .",0
I hope the movie is widely seen and debated with appropriate ferocity and thoughtfulness .,1
Intelligent and moving .,1
This film is too busy hitting all of its assigned marks to take on any life of its own .,0
"Mark Wahlberg ... may look classy in a '60s - homage pokepie hat , but as a character he 's dry , dry , dry .",0
As Warren he stumbles in search of all the emotions and life experiences he 's neglected over the years .,0
It should have stayed there .,0
"There 's no point of view , no contemporary interpretation of Joan 's prefeminist plight , so we 're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .",0
"Romantic , riveting and handsomely animated .",1
As saccharine as it is disposable .,0
Captures the raw comic energy of one of our most flamboyant female comics .,1
"A subtle , poignant picture of goodness that is flawed , compromised and sad .",0
"An exceptionally acted , quietly affecting cop drama .",1
"Even in the summertime , the most restless young audience deserves the dignity of an action hero motivated by something more than franchise possibilities .",0
"Perfectly pitched between comedy and tragedy , hope and despair , About Schmidt instead comes far closer than many movies to expressing the way many of us live -- someplace between consuming self-absorption and insistently demanding otherness .",1
So exaggerated and broad that it comes off as annoying rather than charming .,0
"Strange , funny , twisted , brilliant and macabre .",1
"The film has the thrown-together feel of a summer-camp talent show : hastily written , underrehearsed , arbitrarily plotted and filled with crude humor and vulgar innuendo .",0
The cast comes through even when the movie does n't .,0
Innocuous enough to make even Jean-Claude Van Damme look good .,0
But its storytelling prowess and special effects are both listless .,0
"I stopped thinking about how good it all was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights .",1
Newcomer helmer Kevin Donovan is hamstrung by a badly handled screenplay of what is really an amusing concept -- a high-tech tux that transforms its wearer into a superman .,0
"One Hour Photo may seem disappointing in its generalities , but it 's the little nuances that perhaps had to escape from director Mark Romanek 's self-conscious scrutiny to happen , that finally get under your skin .",0
"With a confrontational stance , Todd Solondz takes aim on political correctness and suburban families .",0
A processed comedy chop suey .,0
"Proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness .",0
"An intelligent , multi-layered and profoundly humanist -LRB- not to mention gently political -RRB- meditation on the values of knowledge , education , and the affects of cultural and geographical displacement .",1
"A sexy , peculiar and always entertaining costume drama set in Renaissance Spain , and the fact that it 's based on true events somehow makes it all the more compelling .",1
Goes on and on to the point of nausea .,0
"-LRB- Raimi 's -RRB- matured quite a bit with Spider-Man , even though it 's one of the most plain white toast comic book films you 'll ever see .",0
"It 's about as convincing as any other Arnie musclefest , but has a little too much resonance with real world events and ultimately comes off as insultingly simplistic .",0
"An unbelievably stupid film , though occasionally fun enough to make you forget its absurdity .",0
... a powerful sequel and one of the best films of the year .,1
This one is strictly a lightweight escapist film .,0
It 's actually too sincere -- the crime movie equivalent of a chick flick .,0
"If the title is a Jeopardy question , then the answer might be `` How does Steven Seagal come across these days ? ''",0
"Unambitious writing emerges in the movie , using a plot that could have come from an animated-movie screenwriting textbook .",0
"Not that any of us should be complaining when a film clocks in around 90 minutes these days , but the plotting here leaves a lot to be desired .",0
Dignified CEO 's meet at a rustic retreat and pee against a tree .,0
A sugar-coated Rocky whose valuable messages are forgotten 10 minutes after the last trombone honks .,0
The movie is too amateurishly square to make the most of its own ironic implications .,0
The film 's constant mood of melancholy and its unhurried narrative are masterfully controlled .,1
Barry Sonnenfeld owes Frank the Pug big time,0
One gets the impression the creators of Do n't Ask Do n't Tell laughed a hell of a lot at their own jokes .,0
"Schrader aims to present an unflinching look at one man 's downfall , brought about by his lack of self-awareness .",0
"Blue Crush follows the formula , but throws in too many conflicts to keep the story compelling .",0
"Somewhere in the middle , the film compels , as Demme experiments he harvests a few movie moment gems , but the field of roughage dominates .",0
through Kafka 's meat grinder and,0
"This toothless Dog , already on cable , loses all bite on the big screen .",0
Make Chan 's action sequences boring .,0
It all comes down to whether you can tolerate Leon Barlow .,0
"Peralta captures , in luminous interviews and amazingly evocative film from three decades ago , the essence of the Dogtown experience .",1
"Green ruins every single scene he 's in , and the film , while it 's not completely wreaked , is seriously compromised by that .",0
"Evokes the frustration , the awkwardness and the euphoria of growing up , without relying on the usual tropes .",0
"Standing in the Shadows of Motown is the best kind of documentary , one that makes a depleted yesterday feel very much like a brand-new tomorrow .",1
The first question to ask about Bad Company is why Anthony Hopkins is in it .,0
"Nair and writer Laura Cahill dare to build a movie around some flawed but rather unexceptional women , emerging with a fine character study that 's short on plot but rich in the tiny revelations of real life .",0
"Goofy , nutty , consistently funny .",1
Audiard successfully maintains suspense on different levels throughout a film that is both gripping and compelling .,1
The most excruciating 86 minutes one might sit through this summer that do not involve a dentist drill .,0
"Skillful as he is , Mr. Shyamalan is undone by his pretensions .",0
Fans of so-bad-they 're - good cinema may find some fun in this jumbled mess .,0
"Mostly works because of the universal themes , earnest performances ... and excellent use of music by India 's popular Gulzar and Jagjit Singh .",1
"One of the pleasures in Walter 's documentary ... is the parade of veteran painters , confounded dealers , and miscellaneous bohos who expound upon the subject 's mysterious personality without ever explaining him .",0
"Adrift , Bentley and Hudson stare and sniffle , respectively , as Ledger attempts , in vain , to prove that movie-star intensity can overcome bad hair design .",0
"The real charm of this trifle is the deadpan comic face of its star , Jean Reno , who resembles Sly Stallone in a hot sake half-sleep .",0
Rather than real figures,0
Not just unlikable .,0
Show me the mugging .,0
"It 's a rollicking adventure for you and all your mateys , regardless of their ages .",1
The next big thing 's not-so-big -LRB- and not-so-hot -RRB- directorial debut .,0
